nbhId,neighbourhood_group,Bus Stop,Subway Entrance
Sea Gate,Brooklyn,0,0
Rockaway Beach,Brooklyn,8,4
Roosevelt Island,Manhattan,0,1
Rosebank,Brooklyn,1,0
Rosedale,Manhattan,5,0
Rossville,Brooklyn,6,0
Schuylerville,Staten Island,3,0
Sheepshead Bay,Manhattan,64,6
South Beach,Manhattan,5,2
South Ozone Park,Manhattan,7,0
South Slope,Brooklyn,4,6
Springfield Gardens,Manhattan,9,0
Spuyten Duyvil,Brooklyn,3,0
St. Albans,Manhattan,25,0
Tompkinsville,Staten Island,2,0
St. George,Manhattan,11,1
Stapleton,Manhattan,9,3
Stuyvesant Town,Staten Island,18,2
Sunnyside,Staten Island,31,18
Van Nest,Brooklyn,12,5
Sunset Park,Manhattan,20,23
Theater District,Manhattan,2,43
Throgs Neck,Brooklyn,13,0
Todt Hill,Manhattan,1,0
Tottenville,Manhattan,2,11
Tremont,Manhattan,6,0
Tribeca,Manhattan,6,32
Two Bridges,Brooklyn,4,0
Vinegar Hill,Staten Island,4,1
Woodside,Manhattan,15,12
Unionport,Manhattan,17,2
University Heights,Manhattan,6,3
Upper East Side,Brooklyn,65,52
Upper West Side,Manhattan,106,56
Windsor Terrace,Manhattan,7,7
Wakefield,Manhattan,13,10
Washington Heights,Queens,62,38
West Brighton,Brooklyn,5,0
West Farms,Brooklyn,7,5
Woodhaven,Manhattan,7,7
Woodlawn,Brooklyn,6,0
West Village,Queens,7,19
Westchester Square,Manhattan,4,4
Westerleigh,Brooklyn,0,0
Williamsbridge,Bronx,10,2
Williamsburg,Queens,44,43
Willowbrook,Bronx,1,0
